Region and State,Total,Inter-governmental,Direct: Total,Elementary and Secondary Education,Higher Education,Public Welfare,Health and hospitals,Highways,Police,All Other,Exhibit: Personal Income,year
Iowa,28438.146339035,0.0,28438.146339035,6181.6790437523,3787.1330103720998,5195.427025804999,3721.24395848,2430.3490673036995,726.31099659625,6396.0040041478,139531.3,2014
Kansas,23774.810443685,1.2720000712300001,23773.537471775,5438.2899880575,3076.1080128667004,3658.4819851531006,3012.0699974652002,1781.3009388853002,756.29400587181,6050.9929951751,136878.7,2014
Minnesota,50435.59582656,0.017000014080000004,50435.57941728,10740.369867231999,4676.531028992,12914.397906575998,3152.9980264799997,4214.010037808,1740.6319886272,12996.640944448,273488.0,2014
Missouri,43447.44910949999,64.041012126,43383.409419824995,9929.07909405,3761.040979935,8596.0100841075,5246.779073985001,2426.7340032659995,1708.064995725,11715.700985302501,254317.5,2014
Nebraska,15567.644124800003,44.076000218800004,15523.567541680002,3914.5399959760002,2045.281972604,2616.479996892,1279.417985992,1285.050014396,443.87200066599996,3938.9259915119997,92524.0,2014
North Dakota,8171.61110676,0.0,8171.61110676,1522.0369837463998,1014.4650066384,1153.2059915472,215.40199812467998,1678.7570194835998,164.88799861404,2422.8559887108,42819.6,2014
South Dakota,6462.183136508001,0.0,6462.183136508001,1315.2160076561001,677.7400105377001,1033.8760185039,288.43599869029003,938.6600078999,181.05199956239002,2027.2029970521999,40252.3,2014
Alabama,39631.914776916,0.0,39631.914776916,7527.548930915999,4706.2150149924,7853.919022278,6087.5029335876,2282.4810715139997,1169.0029941366001,10005.2439946368,181078.8,2014
Arkansas,21897.666448784,0.1300041589,21897.535641422,4877.2369432388,2639.3800044108,5579.2289943242995,1325.4160371053001,1652.9959958155,645.4939992000501,5177.7839541855,114743.3,2014
Florida,137612.260222493,0.0,137612.260222493,25775.778383560802,9934.6577189524,25370.414122014503,13104.8789501504,10020.096036515602,7242.69802361189,46163.7406917603,861412.3,2014
Georgia,65472.645761932,0.0,65472.645761932,17409.0851019532,6124.991083151101,11291.3088094029,6842.9368614563,3432.6839822222905,2403.20099208024,17968.4400192014,402790.9,2014
Kentucky,33993.104868503004,0.0,33993.104868503004,6727.683014367701,3718.9880253437996,8305.164049061,2737.9370824663,2730.8589412687,801.94699575144,8970.526993648,166717.1,2014
Louisiana,40223.92232055,0.0,40223.92232055,7706.0570345372,3071.4060083744,8112.350005984799,4772.7650869651,2163.2049652605997,1420.89500138317,12977.244077839,200293.9,2014
Mississippi,24085.492397905004,0.0,24085.492397905004,4404.039022624999,2745.3939645375,5441.3440284114995,3960.0839695215,1587.073970104,693.22500146725,5254.3319720885,104255.5,2014
North Carolina,74278.523369595,0.0,74278.523369595,13311.393112523998,9271.768804860501,13684.943010657498,13068.747884378497,4184.7618309755,2819.8569940515,17937.052130247,398099.5,2014
South Carolina,37007.791965078,0.0,37007.791965078,7916.732940506999,3788.7909706632004,6820.9599421032,6915.8339722344,1520.0120042168999,1102.93100439336,8942.530966410599,182832.6,2014
Tennessee,43069.019405552,0.0,43069.019405552,9209.6120437951,3775.3809868397,10321.5768711419,4032.8168907803,2379.45000778527,1784.0610072399102,11566.120903019202,267288.7,2014
Virginia,66683.76384111999,0.8579902945600001,66682.90421544,16065.769932844798,7292.935115603199,11047.5540671888,6365.1520217488,4498.668168574399,2239.17699885008,19173.6501330768,419329.6,2014
West Virginia,14744.809716208,0.0,14744.809716208,3168.2879969884,1650.9259841051996,3708.7140337895994,751.1279864176,1216.9349831012,366.88100181479996,3881.9380010487994,67764.4,2014
Arizona,43440.17058269999,0.0,43440.17058269999,7969.6958949964,5064.6069269832,8907.3139869098,3964.1359837144,2045.7279900410301,2042.8669934288798,13445.821957627699,257272.3,2014
New Mexico,18612.615043197,0.0,18612.615043197,3507.4570002507,2400.3050080968,4307.8919871771,1781.1729672093,1071.4050093348,677.27100061593,4867.112015929801,77975.1,2014
Oklahoma,28743.81738072,55.513004322899995,28688.305116319996,5927.767970209,3579.822967649,6687.727079996001,2298.7850664909997,2406.821930996,992.0990012875001,6795.2810094569995,180469.0,2014
Texas,195686.23375512796,0.0,195686.23375512796,47481.4902394417,27067.067527927997,32631.162234647098,21271.316487092197,12532.916010379578,6981.811000844688,47720.4693625489,1274636.9,2014
Colorado,43636.90584198601,3.5360135086600004,43633.369367080006,8788.222921521,5056.5739551888,6758.5390083732,4107.9108976166,2758.4211143784,1762.36299634916,14401.3378765504,271410.2,2014
Idaho,11054.828015324,0.0,11054.828015324,1959.7029883604,1022.0169825638001,2475.8389872968,997.6740291178,882.828981909,412.19300297404,3304.5730183816,61801.4,2014
Montana,8085.490079718002,0.0,8085.490079718002,1720.9719784620002,833.8570184502,1473.2089915188,481.2060028530001,885.9359916174002,310.53100205514005,2379.7790207166,43555.8,2014
Utah,21277.552869188003,0.0,21277.552869188003,4270.2870197987995,3659.8900406067996,3437.365026249,1906.2080411374,1271.7419854215998,719.0870045004799,6012.9740217624,112620.2,2014
Wyoming,8188.601089338001,18.95499887742,8169.646070331001,1760.3850137391003,772.5739849353,823.0430021085001,1413.4609955952,759.7959959457,216.23600111544,2424.1510030833006,33549.3,2014
California,374289.493649904,2785.7149700251202,371503.785414384,66267.1124453352,36090.6665268072,74157.63102244561,42109.75130275201,17866.32100592472,15904.6390920144,119107.66382103121,1980736.8,2014
Nevada,18003.286307137998,4.12499902012,17999.160674307997,3975.1080305046,1316.374998158,2368.470055908,1301.2930225746,1236.9109670808,1114.20400105806,6686.799986352199,117372.2,2014
Oregon,38248.52510637599,0.0,38248.52510637599,6143.4749257115,4353.213921379699,7903.1280369925,3865.9369857849,2103.8809687753,1181.6960069904599,12697.1939600025,167077.3,2014
Washington,61595.27075058999,3.7570042860599995,61591.511983820004,12451.664880526001,6280.808990329399,9877.9340419048,7863.103046734599,4131.1141628328,1916.4310132331598,19070.457143145402,359690.6,2014
Alaska,14421.662858200001,0.0,14421.662858200001,2491.0109796,929.61101779,2033.68601293,650.97298201,1610.05199329,371.802999308,6334.5271535,41210.0,2014
Hawaii,13414.969950672,0.38599771884,13414.584296344,2126.0699807393,1133.6260104402,2733.502028056,1274.6689772911,746.0039868903001,451.15199683258,4949.561012325699,66036.7,2014
Connecticut,33602.378680234004,0.0,33602.378680234004,9173.4000975344,3122.2349229876,3751.5821119713996,2287.7950020459803,2355.98300032984,1172.5949968300401,11738.7890591804,243164.6,2015
Maine,10859.685115876002,0.0,10859.685115876002,2369.1910222247,788.0440217460999,3055.4339759222003,432.73799963058997,890.9799835675001,265.29200068982004,3058.0059779331,58331.3,2015
Massachusetts,72075.79711488199,1.53798409435,72074.259773131,15490.568090173001,5150.6160204213,19719.540022749603,2754.12599288838,3957.366981939581,2426.31998165513,22575.721013211303,428228.9,2015
New Hampshire,10183.702262582001,0.0,10183.702262582001,2855.3560185006,902.0739681068001,1882.3900091092003,176.98799705704,722.8719976652601,400.87300177654004,3243.1490058580002,73474.6,2015
Rhode Island,10470.936766367999,18.24600080876,10452.690770804,2345.432021628,647.1460063256,2928.5770083875996,280.0700004334,443.96699868356,418.78500207568004,3388.7140164872,52447.6,2015
Vermont,7019.18002919,0.0,7019.18002919,1588.737998939,761.518014745,1770.1320120730002,382.018996651,659.2000106559999,217.49500037020002,1640.07798954,31079.0,2015
Delaware,9510.617017056,0.9160013186300001,9509.700938869999,1882.2160206319998,1282.9980203604998,2280.592017521,553.8029946476,468.0360109811999,360.61500085192,2681.4410185672996,45216.1,2015
District of Columbia,12388.39712721,0.0,12388.39712721,2546.2060081224,178.1949984087,3563.5729770732005,749.9079807180001,469.87099991754,584.6669844405,4295.9770174503,50337.3,2015
Maryland,58012.370054784005,0.0,58012.370054784005,12742.630932156,5948.3558794872,12342.448048614,2261.93801469864,3434.2571427048,2574.8349906057597,18707.906059626,337702.8,2015
New Jersey,90710.22561753601,19.00001379132,90691.22818185299,26291.6388811512,6414.132085447501,16306.1231637747,5608.1391555777,5065.51497585051,3398.0179860023404,27607.662202602,537105.9,2015
New York,257878.35307575198,0.0,257878.35307575198,63746.736352429594,13723.9243912473,60349.81524995689,21390.336419746396,11017.89201352184,9569.396984311159,78080.2539739846,1154722.9,2015
Pennsylvania,114796.790635758,130.02300055668,114666.762998487,27116.1937666389,10164.827308198499,26742.0907755393,8487.1552332336,9760.3750899102,3696.5269845478797,28699.5969315615,643988.1,2015
Illinois,115460.89317778,9.45799530407,115451.43591611397,26330.078919458098,9668.0118735378,22238.50403843,4868.29798090869,8865.115701955,5009.66696905667,38471.76029937899,666943.7,2015
Indiana,49052.86603239601,3.2889866248800006,49049.576819514,9765.421052790602,5862.135882718801,11589.3939569562,5678.695094464801,2734.2329861406597,1201.35298976802,12218.3460445248,282821.4,2015
Michigan,79782.478109474,11.02301977734,79771.45374526198,16730.5430351748,11028.0921992056,16378.6932087492,8543.151065320399,3649.2120082959996,2434.3389985700996,21007.4238804788,433688.6,2015
Ohio,99218.118076204,12.96299136336,99205.15778273999,22268.471175149203,9447.814756101201,26179.9157592316,7838.11102765,5865.9118340944,3419.00500383432,24185.925840075997,518826.8,2015
Wisconsin,51021.46183377601,0.0,51021.46183377601,10856.186920847698,6020.021105426701,11606.648001642001,3779.3100463668,4473.7940827161,1818.2870020402202,12467.2159693152,269703.9,2015
Iowa,29888.299942788006,0.0,29888.299942788006,6401.072051448801,3944.7179926172003,5838.8149742668,3828.9500268120005,2657.3449924164,745.11899575212,6472.281010686,144587.6,2015
Kansas,24436.557987352,35.02199447096,24401.536643064,5656.3170151152,3299.5209563848,3855.8790568367995,2926.4419621695997,1908.1510025255998,786.4519983493599,5968.774056834399,138336.8,2015
Minnesota,52214.679852825015,0.24199870821,52214.439257589,11414.002975430401,4692.0189781302,13565.757875909401,3118.3900838127006,4403.911911478201,1840.3920128844,13179.965133520802,286422.9,2015
Missouri,44885.91500391601,53.68698839364,44832.228700028,10143.6229980386,3948.4681084940003,8916.8209240054,5756.6410944770005,2405.55701225784,1718.31300744502,11942.805002440202,263271.4,2015
Nebraska,16573.727252836,43.415004608660006,16530.311728304,4182.0180201692,2194.8439594191004,2560.1900465889,1359.8930019408,1450.0080408716,464.92000477132996,4318.438972274001,96282.1,2015
North Dakota,9017.967028665,0.0,9017.967028665,1724.1070104300002,1103.4809897727,1441.8779893119,231.34299843165,1690.0040043537003,191.15399800875002,2635.9999971774,41178.9,2015
South Dakota,6648.371022101999,0.0,6648.371022101999,1418.664003489,696.3539856657,1113.5480138543999,274.86800059778994,923.5559844210001,195.38999959655996,2025.9910135211999,41912.7,2015
Alabama,40277.001716166,0.0,40277.001716166,7496.899070491199,4863.337014096,8146.149069961801,6168.0019859618005,2387.5749277301998,1239.2359982892801,9975.802930997199,189115.4,2015
Arkansas,23150.69902313,0.13200421204999999,23150.567244484995,5021.307972859,2561.8140180034998,6591.3490228615,1398.4209718389998,1711.8930445775002,677.4960007964,5188.285999852999,118719.5,2015
Florida,142729.144126878,0.0,142729.144126878,26643.9110381879,10304.8689921295,26958.4347847194,13619.673422085,10465.060079634299,7529.78799189988,47207.4098418588,919834.9,2015
Georgia,66126.53199204,0.0,66126.53199204,18245.874110209203,5385.462898870601,11737.516918917401,7055.981011986401,3187.86600015364,2547.8379929397197,17965.992802500605,427437.4,2015
Kentucky,37539.235883232,0.0,37539.235883232,6853.898071180801,3990.408916728,10887.508002580802,2983.0149834528,2917.3679551248,771.5090015232,9135.5289526416,174331.2,2015
Louisiana,39693.568505825,0.0,39693.568505825,7904.95108312,3075.282975596,8477.728954779499,3555.0109752689996,2284.2870762595,1528.3010002143,12868.005997586999,201363.5,2015
Mississippi,25084.953753439997,0.0,25084.953753439997,4457.620987792001,2844.5250067360003,5847.018022832,4043.8390199200003,1614.073042624,729.3510051520001,5548.526986576,106064.0,2015
North Carolina,75794.02056349198,0.0,75794.02056349198,13871.0020593375,9625.501839769198,14581.3682015694,13018.5038141235,4139.236001736989,2994.17697949986,17564.2318771227,419334.3,2015
South Carolina,39095.195854092,0.0,39095.195854092,8227.4620907073,4046.9870936879997,7623.2849787752,7235.390017671901,1579.96199817057,1150.4310009668002,9231.6780327107,194364.1,2015
Tennessee,43999.280742249,0.0,43999.280742249,9196.5789498252,3913.6149922506997,10848.713869034,4217.480995612999,2211.61998835913,1809.0249939714702,11802.248078319899,281281.1,2015
Virginia,68969.395223008,1.9080206348,68967.488736328,16328.973827549602,7926.1719151832,10882.7987919896,6909.049876310399,5045.722986836,2325.40399450632,19549.365985307202,438272.8,2015
West Virginia,15687.218817544002,0.0,15687.218817544002,3149.8409837004,1661.2320022834003,4636.156002741401,708.8159726764,1100.1409805474,373.3080018476601,4057.7250190224004,69178.6,2015
Arizona,41486.267067324996,0.0,41486.267067324996,7732.726046202,5509.166947824499,10111.2360243215,1858.5070080698,2235.2990044656003,2113.2559993906,11926.074953789,270815.5,2015
